benchmark,dimension,seed,true_eval_num,strategy_before,strategy_used,strategy_after,candidate_pred,true_fitness,current_best_after,improved,rejected_by_niche,niche_min_distance,niche_threshold,pred_mq,pred_tps,pred_gaussian
Ellipsoid,10,42,56,1,LCB-GPR,2,-284156.31108201365,1163.9066448089004,1.1463152814627433,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,57,2,Global-RBF,3,-0.7086287367745854,4.234011667516968,1.1463152814627433,False,False,0.5244984934128051,0.0031622776601683794,2.053902348269048,2.9996419567148678,-0.7086287367852719
Ellipsoid,10,42,58,3,Local-RBF,1,-1.3828375399296924,1.4563842266339255,1.1463152814627433,False,False,0.44993376034707583,0.0031622776601683794,0.9812417551798096,-1.3828375399296933,1.6471460147109183
Ellipsoid,10,42,59,1,LCB-GPR,2,-243057.4036363539,1046.1121312231091,1.1463152814627433,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,60,2,Global-RBF,2,-0.1569142488858688,1.0984183355139434,1.0984183355139434,True,False,0.45525703074550933,0.0031622776601683794,0.854576496337927,1.2459781319246304,-0.15691424887779704
Ellipsoid,10,42,61,2,Global-RBF,3,0.2702979117997302,1.5056270244781695,1.0984183355139434,False,False,0.3312223743847483,0.0031622776601683794,0.8246520955708547,1.4310525669415028,0.27029791177585594
Ellipsoid,10,42,62,3,Local-RBF,1,0.880841268475427,1.2804489144061493,1.0984183355139434,False,False,0.08928057170906076,0.0031622776601683794,1.151101450056682,0.880841268475427,1.1330780485986591
Ellipsoid,10,42,63,1,LCB-GPR,2,-248381.3120909611,1247.0769162949027,1.0984183355139434,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,64,2,Global-RBF,2,0.20616204421082784,1.062709015968646,1.062709015968646,True,False,0.3258561239984072,0.0031622776601683794,0.9166478475999611,0.20616204421082784,0.8019441111250671
Ellipsoid,10,42,65,2,Global-RBF,2,0.3008347993222742,0.40123978564811846,0.40123978564811846,True,False,0.35188153408305306,0.0031622776601683794,0.3008347995190661,0.8011453750143573,0.7741454245210662
Ellipsoid,10,42,66,2,Global-RBF,3,-0.07613247477695495,0.9919277397505494,0.40123978564811846,False,False,0.30799100006417623,0.0031622776601683794,0.9650699662950046,1.0807168222454493,-0.07613247476933793
Ellipsoid,10,42,66,3,Local-RBF,1,0.4012397573083005,,0.40123978564811846,False,True,0.0,0.0031622776601683794,0.4012397573083005,0.40123978529458126,0.4012397993342962
Ellipsoid,10,42,67,1,LCB-GPR,2,-266939.8676588895,1210.7744451348603,0.40123978564811846,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,68,2,Global-RBF,3,0.2765847514565394,1.1066968457087683,0.40123978564811846,False,False,0.2171853697019517,0.0031622776601683794,0.6583877621636702,0.9336333326785962,0.2765847514866664
Ellipsoid,10,42,68,3,Local-RBF,1,0.40123975092139963,,0.40123978564811846,False,True,0.0,0.0031622776601683794,0.40123975092139985,0.4012397853380073,0.4012398033189727
Ellipsoid,10,42,69,1,LCB-GPR,2,-208861.6418889463,1192.8775228822435,0.40123978564811846,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,70,2,Global-RBF,3,0.038815262726643596,0.5314267460247999,0.40123978564811846,False,False,0.2676466185893717,0.0031622776601683794,0.273363091476881,0.36703559286218024,0.038815262828052255
Ellipsoid,10,42,70,3,Local-RBF,1,0.40123973761494347,,0.40123978564811846,False,True,0.0,0.0031622776601683794,0.40123973761494347,0.4012397854125772,0.40123980608769017
Ellipsoid,10,42,71,1,LCB-GPR,2,-202050.45893378122,963.4467812811963,0.40123978564811846,False,False,,0.0031622776601683794,,,
Ellipsoid,10,42,72,2,Global-RBF,2,-0.13750871678155363,0.32775993867312575,0.32775993867312575,True,False,0.4164344597298627,0.0031622776601683794,-0.13750871662659847,1.3528349891903417,0.9944572180961586
Ellipsoid,10,42,73,2,Global-RBF,3,-52.58522605715211,129.64674812878343,0.32775993867312575,False,False,4.418691555632999,0.0031622776601683794,-52.5852260653013,117.33999242697075,171.70571397565243
Ellipsoid,10,42,73,3,Local-RBF,1,0.32775993869769715,,0.32775993867312575,False,True,0.0,0.0031622776601683794,0.3277599390241932,0.32775993869769743,0.32775994004633374
